Country,Crop,Production,Global_Production_Share_%,Water_Stress,Agriculture_Withdrawal_Share,Risk_Category,Hotspot_Score
Afghanistan,Maize (corn),311000.0,0.016808302491112613,54.75701944,98.1696273,High-pressure hotspot,0.009035262984342296
Afghanistan,Potatoes,889000.0,0.11952681157483096,54.75701944,98.1696273,High-pressure hotspot,0.064251352974493
Afghanistan,Rice,592000.0,0.04432929600998391,54.75701944,98.1696273,High-pressure hotspot,0.02382910752425706
Afghanistan,Sugar cane,58394.0,0.002396027133690143,54.75701944,98.1696273,High-pressure hotspot,0.001287978680890416
Afghanistan,Wheat,3802895.0,0.25376253081933065,54.75701944,98.1696273,High-pressure hotspot,0.13640944424561866
Albania,Maize (corn),401419.0,0.021695086744951558,4.789663462,70.89084065,Lower water stress,0.0007366420680081578
Albania,Potatoes,262673.0,0.035316609872660935,4.789663462,70.89084065,Lower water stress,0.0011991517175052608
Albania,Wheat,233145.0,0.015557480616181315,4.789663462,70.89084065,Lower water stress,0.0005282437829739235
Algeria,Maize (corn),11000.0,0.000594505875891443,144.8149712,67.42997902,Severe water stress,0.000580527287161369
Algeria,Potatoes,4321830.52,0.5810738157732211,144.8149712,67.42997902,Severe water stress,0.5674110544416716
Algeria,Rice,311.45,2.332155277417143e-05,144.8149712,67.42997902,Severe water stress,2.2773194199434e-05
Algeria,Wheat,3000000.0,0.2001863297456259,144.8149712,67.42997902,Severe water stress,0.19547935797902882
Angola,Maize (corn),3089902.0,0.16699680862988375,1.871883289,20.78492491,Lower water stress,0.0006497337085069815
Angola,Potatoes,502204.0,0.06752175802038965,1.871883289,20.78492491,Lower water stress,0.00026270659064348207
Angola,Rice,10563.0,0.000790963435394358,1.871883289,20.78492491,Lower water stress,3.077397768188453e-06
Angola,Sugar cane,1013000.0,0.04156549451019137,1.871883289,20.78492491,Lower water stress,0.00016171867663583876
Angola,Wheat,8097.0,0.0005403029039834442,1.871883289,20.78492491,Lower water stress,2.102154001639014e-06
Antigua and Barbuda,Maize (corn),51.53,2.7849897986078233e-06,8.461538462,15.65217391,Lower water stress,3.6884814718876574e-08
Argentina,Maize (corn),59037179.0,3.1907227101413547,10.45666408,73.92800424,Lower water stress,0.24665572616207038
Argentina,Potatoes,2259130.89,0.3037420834779642,10.45666408,73.92800424,Lower water stress,0.02348048732912876
Argentina,Rice,1222426.0,0.09153595270996721,10.45666408,73.92800424,Lower water stress,0.007076098093341887
Argentina,Sugar cane,15500000.0,0.6359972012911809,10.45666408,73.92800424,Lower water stress,0.049165147138270415
Argentina,Wheat,12555860.0,0.8378371767333047,10.45666408,73.92800424,Lower water stress,0.06476819078508295
Armenia,Maize (corn),5154.1,0.0002785584304483715,61.97296752,77.47395833,High-pressure hotspot,0.00013374401138417362
Armenia,Potatoes,351392.9,0.04724507643085874,61.97296752,77.47395833,High-pressure hotspot,0.022683736513894708
Armenia,Wheat,138612.8,0.009249462562588162,61.97296752,77.47395833,High-pressure hotspot,0.004440936231142204
Australia,Maize (corn),430000.0,0.023239775148483677,4.672295939,66.88583383,Lower water stress,0.0007262671654860192
Australia,Potatoes,1462066.0,0.19657602620018763,4.672295939,66.88583383,Lower water stress,0.006143205450085037
Australia,Rice,691444.48,0.051775755115522626,4.672295939,66.88583383,Lower water stress,0.001618046244784875
Australia,Sugar cane,28669279.82,1.1763601115195956,4.672295939,66.88583383,Lower water stress,0.036762478050046794
Australia,Wheat,41199486.0,2.749191296582099,4.672295939,66.88583383,Lower water stress,0.08591508986599598
Austria,Maize (corn),2113960.0,0.11425105830904317,8.676429953,5.23569052,Lower water stress,0.0005190094485395739
Austria,Potatoes,686220.0,0.09226286686038301,8.676429953,5.23569052,Lower water stress,0.00041912346685104895
Austria,Wheat,1712530.0,0.1142750317597589,8.676429953,5.23569052,Lower water stress,0.000519118352978795
Azerbaijan,Maize (corn),269600.1,0.014570803962810963,57.52704791,92.24244294,High-pressure hotspot,0.007731903045515203
Azerbaijan,Potatoes,1074261.3,0.14443535206662875,57.52704791,92.24244294,High-pressure hotspot,0.07664368701784283
Azerbaijan,Rice,10715.4,0.0008023752338942256,57.52704791,92.24244294,High-pressure hotspot,0.00042577523727770327
Azerbaijan,Wheat,1690831.6,0.11282712407397473,57.52704791,92.24244294,High-pressure hotspot,0.0598709849141359
Bahrain,Potatoes,110.0,1.4789594233106191e-05,133.7068966,33.31031308,Severe water stress,6.587016968517704e-06
Bangladesh,Maize (corn),4261845.0,0.23033562678532427,5.723339482,87.81711737,Lower water stress,0.011576833868944357
